CAS,compound,SMILES,membrane_exp,storage_exp,albumin_exp,muscle_chicken_exp,muscle_fish_exp
86-57-7,1-nitronaphthalene,O=[N+]([O-])c1cccc2ccccc12,,,3.17,,2.16
873-76-7,4-chlorobenzyl alcohol,OCc1ccc(Cl)cc1,,,2.1,,
90-43-7,2-phenylphenol,Oc1ccccc1-c1ccccc1,3.43,,2.62,2,
371-41-5,4-fluorophenol,Oc1ccc(F)cc1,2.19,,1.57,1.18,1.1
1980.5.7,bisphenol A,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,3.92,,2.88,,
100-01-6,4-nitroaniline,Nc1ccc([N+](=O)[O-])cc1,,,1.69,0.84,
95-51-2,2-chloroaniline,Nc1ccccc1Cl,,,1.95,,
92-67-1,4-aminobiphenyl,Nc1ccc(-c2ccccc2)cc1,,,2.55,,
120-72-9,indole,c1ccc2[nH]ccc2c1,,,2.25,1.4,1.97
86-74-8,carbazole,c1ccc2c(c1)[nH]c1ccccc12,,,3.52,,
51218-45-2,metolachlor,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC,,,1.74,,
1912-24-9,atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,,,1.77,,
439-14-5,diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,2.99,,2.68,2.01,2.1
53-16-7,estrone,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,3.59,,2.69,,
115-29-7,endosulfan α,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,,,3.24,,
628-05-7,1-nitropentane,CCCCC[N+](=O)[O-],,,,,
538-68-1,n-pentylbenzene,CCCCCc1ccccc1,,,,2.71,2.77
1077-16-3,n-hexylbenzene,CCCCCCc1ccccc1,,,,3.19,3.24
95-94-3,"1,2,4,5-tetrachlorobenzene",Clc1cc(Cl)c(Cl)cc1Cl,4.73,,,2.94,3
608-93-5,pentachlorobenzene,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,5.18,,,3.35,3.41
50-32-8,benzo[a]pyrene,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,7.19,,,4.88,4.97
84-74-2,di-n-butyl phthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC,3.87,,,,
118-96-7,"2,4,6-trinitrotoluene",Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],,,,,
